Topic,Words
Topic 0,"ai, artificial_intelligence, ai_implementer, emotional_airelate, ai_machine, inventorship, ai_ruling, data_owner, initial_set, aigenerate"
Topic 1,"remanufacturer, remanufacturing, remanufacture_product, oem, closedloop_supply_chain, original_manufacturer, clsc, remanufacturing_degree, pcm, dfrem"
Topic 2,"upc, unified_patent_court, unitary_patent, eu, analytical_reflection, prong, frand, fee_shift, participatory, brussels_regulation"
Topic 3,"threedimensional_shape, trade_mark, albania, germany_switzerland, epc, dynamic_governance, eu_acquis, eu_membership, eu_institution, eu"
Topic 4,"indigenous, maori, theft_of_trade_secret, traditional_knowledge, indigenous_people, nagoya_protocol, access_benefitsharing, itk, rooibos, protect_indigenous"
Topic 5,"brazilian, brazil, hts_cable, lei, bem, brazils, tto, inpi, brazilian_academic, termination"
Topic 6,"expvp, combine_ability, zea, diversity_expert, industry_tester, 2011_2012, inbreed, usda, arizona, 24_expvp"
Topic 7,"csp_application, data_exclusivity, chinas_compulsory, compulsory_license, disclosure_of_origin, ttip, trips_agreement, attempt_cl, malaysia, protect_plant"
Topic 8,"seed_commons, variety_constituent, seed_business, 13_of_regulation, statutory_experimental, community_plant, germplasm, protect_variety, variety, scope_of_action"
Topic 9,"stem_cell, synthetic_biology, paulescu, stem_cell_biotechnological, human_embryo, romanian, geneedite_crop, ethical, biotechnology, romanian_scientist"
Topic 10,"indian_pharmaceutical, india, postgraduate_student, bangladesh, indian, nrca, healthcare_professional, faculty, bayer, efficiency_score"
Topic 11,"tppa, linkage_system, health_of_citizen, illicit_drug, chile, ldc, inaction_of_functional, noinfringement_warranty, profit_prioritize, facilitate_establishment"
Topic 12,"ppmv, nigeria, ppmvs, malaria, artemisininbased_combination, malaria_treatment, mrdt, fever, intervention, 95_ci"
Topic 13,"green_innovation, chinas, environmental_regulation, enterprise, china, green_technology, green, environmental, environmental_protection, corporate_green"
Topic 14,"german, germany, sso, dignity, farreaching, technical_committee, rcd, legal_system, gdr, contributor"
Topic 15,"antibody, 1498, biosimilar_developer, hhs_secretary, genetic_testing, epitope, york_times, naturally_occur, antibody_claim, biotechnologyrelated_pct"
Topic 16,"insulin_product, generic_entry, medicare, portable_medicine_chest, asthma_copd, inhaler, insulin, drug_registration, cancer_drug, insulin_glargine"
Topic 17,"land, law_201301, np, crop_protection, effectiveness_limitation, introduce_land, gm_seed, national_assembly, farmer, farmsaved_seed"
Topic 18,"surface, corrosion, temperature, coating, prototype, energy, water, quantum, damper, bracket"
Topic 19,"vaccine, covid19_vaccine, global_vaccine, covid19_pandemic, condition_of_covid19, covax_facility, parallel_import, covid19, coronavirus_pandemic, compel_sharing"
Topic 20,"vaccine, medical_countermeasure, covid19, pandemic, arv, lifesaving, represent_paradigm, medical_advancement, recognize_intricate, confront_inherent"
Topic 21,"tkdl, folklore, indian, traditional_knowledge, icar, digital_library, socioeconomic_offence, white_collar_crime, white_collar, protect_expression"
Topic 22,"infection, parasite, chmi, infect, mouse, prepatent_period, vaccination, antibody_response, mosquito, plasmodium"
Topic 23,"brand_drug, stay_period, generic, settlement, australia, deter_generic, application_cite, actavis, generic_manufacturer, ink"
Topic 24,"digital_health, detailing, unani_medicine, health, physician, health_care, pediatric, quack_medicine, mea, therapeutic_hazard"
Topic 25,"cell, pathway, network_pharmacology, signaling_pathway, rat, antiinflammatory, molecular_docking, ali, target, vitro"
Topic 26,"patient, graft, artery, aneurysm, patient_undergo, stroke, surgery, complication, pfo, rao"
Topic 27,"ats, fda_approval, bpcia, pharmacoeconomic_evaluation, rare_disease, biopharmaceutical, cm, evergreening, jobs, public_funding"
Topic 28,"biosimilar, biologic, biologic_biosimilar, patent_thicket, belgian, reference_product, glycan, originator, live_cell, original_biologic"
Topic 29,"followon_pharmaceutical, reformulation, epogen, sham_exception, generic_procurement, personalised_medicine, insulin, nipt, secondary_pharmaceutical, product_hopping"
Topic 30,"halfcausation, suigenericide, soft_ip, firsttofile, imaginary, philosophical_model, alternative_nearby, copyright_trademark, firsttoinvent, life_table"
Topic 31,"patentable_subject, supreme_courts, software, principle_of_neutrality, matter_jurisprudence, technological_neutrality, sequence_datum, personal_genomic, tcm, neutrality"
Topic 32,"source_disclosure, um, green, outlicense, lot_offer, game_conclusion, closing_price, depreciation, examination_authority, firstmover_advantage"
