Topic,Words
Topic 0,"ai, artificial_intelligence, ai_implementer, emotional_airelate, inventorship, ai_machine, data_owner, ai_ruling, initial_set, aigenerate"
Topic 1,"german, germany, sso, dignity, farreaching, technical_committee, legal_system, gdr, contributor, acknowledge"
Topic 2,"remanufacturer, remanufacturing, remanufacture_product, oem, closedloop_supply_chain, original_manufacturer, clsc, remanufacturing_degree, pcm, licensing_fee"
Topic 3,"upc, unified_patent_court, unitary_patent, eu, analytical_reflection, prong, krka, brussels_regulation, european_jurisdiction, participatory"
Topic 4,"threedimensional_shape, albania, germany_switzerland, trade_mark, eu, epc, dynamic_governance, eu_acquis, separate_legal, eu_membership"
Topic 5,"indigenous, maori, theft_of_trade_secret, nagoya_protocol, indigenous_people, traditional_knowledge, itk, rooibos, australia, protect_indigenous"
Topic 6,"brazil, brazilian, hts_cable, tto, bem, lei, brazils, brazilian_academic, inpi, ai"
Topic 7,"csp_application, data_exclusivity, chinas_compulsory, compulsory_license, disclosure_of_origin, ttip, malaysia, trips_flexibility, trips_agreement, attempt_cl"
Topic 8,"expvp, combine_ability, zea, diversity_expert, industry_tester, 2011_2012, inbreed, usda, germplasm_committee, maize_crop"
Topic 9,"seed_commons, seed_business, variety_constituent, statutory_experimental, community_plant, 13_of_regulation, germplasm, variety, protect_variety, national_seed"
Topic 10,"synthetic_biology, paulescu, stem_cell, stem_cell_biotechnological, romanian, geneedite_crop, human_embryo, romanian_scientist, paulescus, gene_editing"
Topic 11,"indian_pharmaceutical, india, postgraduate_student, bangladesh, 1995, trips_compliance, processfocused_intellectual, regime_enjoy, indian, strategic_choice"
Topic 12,"tppa, homeopathic, linkage_system, deposit, health_of_citizen, illicit_drug, term_homeopathy, ldc, chile, bottleneck_of_analytical"
Topic 13,"ppmv, nigeria, malaria, ppmvs, artemisininbased_combination, malaria_treatment, mrdt, fever, intervention, 95_ci"
Topic 14,"land, pesticide, crop_protection, yoruba, afbe, law_201301, np, afme, coformulant, hrm"
Topic 15,"surface, corrosion, coating, sensor, bracket, water, quantum, temperature, damper, prototype"
Topic 16,"tkdl, folklore, icar, traditional_knowledge, digital_library, white_collar_crime, white_collar, socioeconomic_offence, indian, protect_expression"
Topic 17,"corporate_green, institutional_investor_communication, green_innovation, major_customer, customer_concentration, banker_director, csr, cepi, esg_rating, promote_corporate"
Topic 18,"parasite, infection, chmi, vaccination, infect, abortion, prepatent_period, vaccine, malaria, mosquito"
Topic 19,"racial_ethnic, gs, arv_drug, ethnicity, participant_enrol, pediatric_exclusivity, cancer_drug, cigarette, generic_authorise, mhpaea_associate"
Topic 20,"antibody, 1498, biosimilar_developer, hhs_secretary, genetic_testing, epitope, york_times, naturally_occur, epitope_mapping, mabs"
Topic 21,"generic_entry, insulin_product, nih_funding, drug_registration, pharmaceutical_expenditure, authorize_generic_drug, drugpatentwatch, competitive_pricing, product_approve, local_formulary"
Topic 22,"electric_vehicle, catalytic_converter, ev, renewable_energy_industry, carbon_footprint, combustion_engine, beach, energy, vehicle, grid"
Topic 23,"vaccine, covid19, covid19_vaccine, covid19_pandemic, parallel_import, covax_facility, condition_of_covid19, global_vaccine, coronavirus_pandemic, compel_sharing"
Topic 24,"vaccine, medical_countermeasure, pandemic, policymaker_wrestle, twopronged_solution, medical_ai, failure_drive, feat_foster, seemingly_impossible, comprehensive_compulsory"
Topic 25,"environmental_regulation, green_technology, green, environmental, green_innovation, environmental_protection, enterprise, enterprise_green, global_green, green_utility"
Topic 26,"energy_industry, dige, city, transport_development, tee, ecigarette_industry, talent_war, ecigarette, au_model, permeable_pavement"
Topic 27,"waterrelated_patent, south_korea, internalisation, oled_technology, internal_knowledge, kim, snu, chip_industry, chinese_oled, translation_difficulty"
Topic 28,"list_firm, subsidy_program, upper_quantile, unused_trademark, firms_current, international_competitiveness, statutory_damage, trademark_registration, manufacturing_industry, sipo"
Topic 29,"brand_drug, settlement, stay_period, generic, generic_manufacturer, deter_generic, paragraph_iv, entry, brand_manufacturer, actavis_inference"
Topic 30,"human_gene, chinese_scholar, traditional_medical, china, gene, fourth_amendment, transnational_law, access_of_hesc, unique_response, chinese"
Topic 31,"digital_economy, cloud_computing, chinas, real_estate, ich, china, chinas_ofdi, asi, ofdi, offshore_wind_power"
Topic 32,"kinematic, unb, airway_protection, periungual_wart, nasal, tongue, swallow, rln_lesion, ve, nostril"
Topic 33,"patient, artery, aneurysm, graft, patient_undergo, rao, stent, stroke, postoperative, surgery"
Topic 34,"digital_health, detailing, health, physician, health_care, lrss, therapeutic_hazard, quack_medicine, healthcare, cardiovascular_drug"
Topic 35,"cell, gc, snhg6, nsclc, crc, nucleatum, escc, mibc, rbm8a, expression"
Topic 36,"pathway, network_pharmacology, traditional_chinese_medicine, ftz, rat, molecular_docking, hxzqol, phthalate, signaling_pathway, active_compound"
Topic 37,"university, academic, academic_scientist, university_patenting, academic_spinoff, university_researcher, commercialization_of_academic, science, universityindustry_collaboration, st"
Topic 38,"followon_pharmaceutical, product_hopping, insulin, pharmacoeconomic_evaluation, sham_exception, personalised_medicine, drug_discovery, nipt, injectable_product, market_narrative"
Topic 39,"biosimilar, biologic, patent_thicket, belgian, biologic_biosimilar, reference_product, biosimilar_manufacturer, brand_biologic, original_biologic, live_cell"
Topic 40,"stock_price, datum_breach, crash_risk, bounty, bounty_claim, aia, forefront_of_conversation, maintain_viable, entity_attempt, legal_maze"
Topic 41,"disclosure, cvc_funding, trade_secret, disclosure_obligation, disclose_knowledge, secrecy, standard_nondisclosure, gsd, concept_learning, extend_nondisclosure"
Topic 42,"trademark, conceptual_separability, tm_logo, stable_outcome, transfer_learning, protect_consumer, video_game, registration, trademark_owner, mark"
Topic 43,"patentable_subject, supreme_courts, technological_neutrality, principle_of_neutrality, personal_genomic, sequence_datum, matter_jurisprudence, software, tcm, neutrality"
Topic 44,"halfcausation, suigenericide, soft_ip, firsttofile, philosophical_model, alternative_nearby, imaginary, copyright_trademark, firsttoinvent, life_table"
Topic 45,"computer_program, bulletproof_vest, chomsky, intellectual, source_code, registry, physicalism, property, properly, g20"
Topic 46,"tariff, international_trade, trade, bilateral_trade, trade_agreement, national_flexibility, international_criminal, deportation, parallel_trade, object_purpose"
Topic 47,"technical_feature, grantback_clause, solicitor, boundary_screen, administrative_procedural, authorship_screen, designs_patents, copyright, copyright_law, 17_usc"
Topic 48,"finland, journal, examination_outcome, indicator_sjr, patentlevel, commercialization_speed, illustrate_substantial, unanticipated_reversal, propose_broadening, aspect_of_journal"
Topic 49,"claim_construction, postaipa, parent_application, central_claiming, accession, claim, 103, technological_geographical, patent_assertion, aipa"
Topic 50,"technical_phrase, keyword, query, knowledge_exploration, deep_learning, topic_change, candidate_phrase, text_mining, prior_art, weight"
Topic 51,"supplier, park, learning, organizational_performance, emotional_behavioral, appropriability_mechanism, innovation_performance, firm, entrepreneurship, follower"
Topic 52,"ith_region, incumbent, maximize, core_competence, cross_licensing, evaluation_purpose, trust_equity, legal_sphere, costreduce_innovation, trust"
Topic 53,"pledge, external_patent_attorney, human_inventorship, evaluation_process, filing_strategy, knowledge_adaptability, knowledge_adaptation, foresight_bias, interface, planning"
Topic 54,"federal_circuit, judge, court, supreme_court, district_court, courts, litigation, adjudication, plaintiff, administrative_law"
Topic 55,"patent_schism, hybrid_pae, hybrid_paes, lowvalue, pto, patent_privateer, nuisance, newuse_patent, litigate, earlystage"
Topic 56,"ip_commercialisation, export, ip_treaty, exporter, knowhow_reputation, key_laboratory, technology_purchase, georgia, human_resource, foreign_direct_investment"
Topic 57,"legal_form, source_disclosure, debt_financing, female_male, low_capital, um, startup, expenditure_disclosure, innovative_firm, asymmetry"
Topic 58,"strong_debtor, reasonability, employee_representation, external_financing, leisure_time, local_employee, employment_protection, institutional_complementarity, decrease_availability, dismissal_restriction"
